"filename", "language", "PHP", "SCSS", "JavaScript", "XML", "CSS", "SQL", "Markdown", "HTML", "JSON", "Less", "TypeScript", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_miscellaneous.scss", "SCSS", 0, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 78, 480
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_mixins.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 14
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_modals.scss", "SCSS", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 41
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_navs.scss", "SCSS", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 101
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_print.scss", "SCSS", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 53
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_products.scss", "SCSS", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 55
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_progress-bars.scss", "SCSS", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 67
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_sidebar-mini.scss", "SCSS", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29, 175
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_small-box.scss", "SCSS", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24, 153
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_social-widgets.scss", "SCSS", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 16, 94
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_table.scss", "SCSS", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 75
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_text.scss", "SCSS", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 38
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_timeline.scss", "SCSS", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 128
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_toasts.scss", "SCSS", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 57
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_users-list.scss", "SCSS", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 46
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\_variables.scss", "SCSS", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 35, 238
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\mixins\_accent.scss", "SCSS", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 95
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\mixins\_backgrounds.scss", "SCSS", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 65
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\mixins\_cards.scss", "SCSS", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 83
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\mixins\_custom-forms.scss", "SCSS", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 82
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\mixins\_direct-chat.scss", "SCSS", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 18
"c:\xampp\htdocs\EL_DORADO\admin\dashboard\build\scss\mixins\_miscellaneous.scss", "SCSS", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 36
